game_id,title,steam_link,keyword_evaluation_Autobiographisch,keyword_evaluation_Werke,keyword_evaluation_Figuren,keyword_evaluation_K_E_Total,embedding_evaluation_kafkaesque,embedding_evaluation_absurd,embedding_evaluation_surreal,embedding_evaluation_displaced,embedding_evaluation_isolated,embedding_evaluation_alienated,embedding_evaluation_bureaucratic,embedding_evaluation_civil service,embedding_evaluation_Embedding_Total,keyword_rescaled,embedding_rescaled,baseline_combined_rescaled,generative_evaluation_krauss_1_definition_x,generative_evaluation_krauss_2_kontrast_x,generative_evaluation_krauss_3_beispiel_rossmann_x,generative_evaluation_krauss_4_schluss_x,generative_evaluation_NLI_Total_x,generative_evaluation_krauss_1_definition_y,generative_evaluation_krauss_2_kontrast_y,generative_evaluation_krauss_3_beispiel_rossmann_y,generative_evaluation_krauss_4_schluss_y,generative_evaluation_NLI_Total_y
3112730,Dog Man: Mission Impawsible,https://store.steampowered.com/app/3112730,0.0,0.0,0.0,0.0,19.88,7.56,2.45,1.07,0.0,6.17,4.6,10.56,6.54,41.97,47.72,44.84,,,,,,,,,,
311290,SpellForce 3 Reforced,https://store.steampowered.com/app/311290,0.0,0.0,0.0,0.0,15.85,1.54,2.42,2.21,1.41,3.7,6.26,10.83,5.53,41.97,36.91,39.44,,,,,,,,,,
311340,METAL GEAR SOLID V: GROUND ZEROES,https://store.steampowered.com/app/311340,0.0,0.0,0.0,0.0,17.61,0.35,2.58,0.78,0.89,2.79,3.56,6.48,4.38,41.97,26.07,34.02,,,,,,,,,,
3114010,CAPTURED,https://store.steampowered.com/app/3114010,0.0,0.0,0.0,0.0,33.19,7.25,6.11,1.1,2.21,5.18,7.42,0.0,7.81,41.97,61.49,51.73,,,,,,,,,,
311560,Assassin’s Creed® Rogue,https://store.steampowered.com/app/311560,0.0,0.0,0.0,0.0,24.34,2.48,2.43,1.5,1.64,6.84,6.18,6.21,6.45,41.97,46.73,44.35,,,,,,,,,,
3116890,Out of the Park Baseball 26,https://store.steampowered.com/app/3116890,0.0,2.77,0.0,0.75,6.68,4.99,1.36,0.46,2.43,3.01,3.77,2.59,3.16,66.79,17.09,41.94,,,,,,,,,,
3117820,Sultan's Game,https://store.steampowered.com/app/3117820,0.0,0.0,0.0,0.0,30.61,8.2,4.27,2.47,3.7,8.59,7.39,9.19,9.3,41.97,75.47,58.72,,,,,,,,,,
311840,Wildlife Park,https://store.steampowered.com/app/311840,0.0,0.0,0.0,0.0,14.54,0.0,2.2,0.0,2.68,0.0,6.66,3.38,3.68,41.97,20.58,31.27,,,,,,,,,,
3118630,The Bear - A Story from the World of Gra,https://store.steampowered.com/app/3118630,0.0,0.0,0.0,0.0,29.27,1.59,6.25,1.66,7.24,5.67,2.89,4.07,7.33,41.97,56.38,49.17,,,,,,,,,,
3120000,Pretty Sweet! Healing Guardian,https://store.steampowered.com/app/3120000,0.0,0.0,0.0,0.0,20.22,0.0,3.72,0.48,3.36,5.61,9.36,8.81,6.45,41.97,46.73,44.35,,,,,,,,,,
3121110,Zort,https://store.steampowered.com/app/3121110,0.0,0.0,0.0,0.0,38.24,0.0,4.97,3.44,8.7,8.81,2.66,5.83,9.08,41.97,73.64,57.8,,,,,,,,,,
3121650,Hydrangea,https://store.steampowered.com/app/3121650,0.0,0.0,0.0,0.0,31.58,2.36,5.71,1.76,2.19,4.79,4.82,0.0,6.65,41.97,48.93,45.45,,,,,,,,,,
3121800,Hi! These Are Your Eyeballs,https://store.steampowered.com/app/3121800,0.0,0.0,0.0,0.0,27.39,4.78,4.16,0.79,6.31,2.58,10.76,7.11,7.99,41.97,63.35,52.66,,,,,,,,,,
3121980,The Qubit Factory,https://store.steampowered.com/app/3121980,0.0,0.0,0.0,0.0,16.65,2.7,3.6,0.0,0.0,4.98,10.94,5.37,5.53,41.97,36.91,39.44,,,,,,,,,,
3122170,Dream Cage,https://store.steampowered.com/app/3122170,0.0,0.0,0.0,0.0,37.23,5.3,6.99,1.92,1.62,8.16,5.38,6.38,9.12,41.97,73.98,57.97,,,,,,,,,,
312230,Spirits of Xanadu,https://store.steampowered.com/app/312230,0.0,0.0,0.0,0.0,23.42,3.18,3.69,1.91,4.37,2.01,6.31,1.18,5.76,41.97,39.3,40.63,,,,,,,,,,
312300,Heroes Rise: HeroFall,https://store.steampowered.com/app/312300,0.0,0.0,0.0,0.0,25.55,2.38,2.84,3.12,1.18,6.43,8.42,16.26,8.27,41.97,66.16,54.07,,,,,,,,,,
3123120,Kill the Brickman,https://store.steampowered.com/app/3123120,0.0,0.0,0.0,0.0,9.1,6.82,0.98,0.8,0.0,5.99,3.07,4.37,3.89,41.97,22.13,32.05,,,,,,,,,,
3123410,Atelier Yumia: The Alchemist of Memories & the Envisioned Land,https://store.steampowered.com/app/3123410,0.0,2.77,0.0,0.75,26.58,12.43,4.59,2.3,4.86,6.47,8.45,8.81,9.31,66.79,75.56,71.17,,,,,,,,,,
