game_id,title,steam_link,Autobiographisch,Werke,Figuren,Phase1_Total
1817190,Marvel’s Spider-Man: Miles Morales,https://store.steampowered.com/app/1817190,0.0,0.0,0.0,0.0
546560,Half-Life: Alyx,https://store.steampowered.com/app/546560,0.0,0.0,0.0,0.0
223850,3DMark,https://store.steampowered.com/app/223850,0.0,0.0,0.0,0.0
2238470,Grimshire,https://store.steampowered.com/app/2238470,0.0,0.0,0.0,0.0
1222140,Detroit: Become Human,https://store.steampowered.com/app/1222140,0.0,0.0,0.0,0.0
3021100,Five Hearts Under One Roof,https://store.steampowered.com/app/3021100,0.0,0.0,0.0,0.0
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,https://store.steampowered.com/app/287700,0.0,0.0,0.0,0.0
1585180,Drova - Forsaken Kin,https://store.steampowered.com/app/1585180,0.0,2.77,0.0,0.75
379430,Kingdom Come: Deliverance,https://store.steampowered.com/app/379430,0.0,0.0,0.0,0.0
1290000,PowerWash Simulator,https://store.steampowered.com/app/1290000,0.0,2.77,0.0,0.75
1703340,The Stanley Parable: Ultra Deluxe,https://store.steampowered.com/app/1703340,0.0,0.0,0.0,0.0
756800,Contraband Police,https://store.steampowered.com/app/756800,0.0,0.0,0.0,0.0
2420110,Horizon Forbidden West™ Complete Edition,https://store.steampowered.com/app/2420110,0.0,5.55,0.0,1.5
339340,Resident Evil 0,https://store.steampowered.com/app/339340,0.0,0.0,0.0,0.0
2457220,Avowed,https://store.steampowered.com/app/2457220,0.0,0.0,0.0,0.0
2561580,Horizon Zero Dawn™ Remastered,https://store.steampowered.com/app/2561580,0.0,0.0,0.0,0.0
1868360,Deep Sleep: Labyrinth of the Forsaken,https://store.steampowered.com/app/1868360,0.0,0.0,0.0,0.0
2821610,Echoes of the End,https://store.steampowered.com/app/2821610,0.0,2.77,0.0,0.75
750130,The Sinking City Remastered,https://store.steampowered.com/app/750130,0.0,0.0,0.0,0.0
1593500,God of War,https://store.steampowered.com/app/1593500,0.0,0.0,5.55,2.25
632300,Hobo: Tough Life,https://store.steampowered.com/app/632300,0.0,0.0,0.0,0.0
22380,Fallout: New Vegas,https://store.steampowered.com/app/22380,0.0,0.0,8.79,3.56
1583230,High On Life,https://store.steampowered.com/app/1583230,0.0,0.0,0.0,0.0
1809540,Nine Sols,https://store.steampowered.com/app/1809540,0.0,2.77,0.0,0.75
1949030,Sherlock Holmes The Awakened,https://store.steampowered.com/app/1949030,0.0,0.0,0.0,0.0
1222700,A Way Out,https://store.steampowered.com/app/1222700,0.0,0.0,0.0,0.0
329050,Devil May Cry 4 Special Edition,https://store.steampowered.com/app/329050,0.0,0.0,0.0,0.0
620,Portal 2,https://store.steampowered.com/app/620,0.0,2.77,0.0,0.75
2909400,FINAL FANTASY VII REBIRTH,https://store.steampowered.com/app/2909400,0.0,0.0,0.0,0.0
1659420,UNCHARTED™: Legacy of Thieves Collection,https://store.steampowered.com/app/1659420,0.0,4.39,0.0,1.19
304240,Resident Evil,https://store.steampowered.com/app/304240,0.0,0.0,0.0,0.0
1536090,Echoes of the Plum Grove,https://store.steampowered.com/app/1536090,0.0,2.77,0.0,0.75
1145360,Hades,https://store.steampowered.com/app/1145360,0.0,0.0,0.0,0.0
1137300,Sherlock Holmes Chapter One,https://store.steampowered.com/app/1137300,0.0,0.0,0.0,0.0
1218210,Coromon,https://store.steampowered.com/app/1218210,0.0,2.77,0.0,0.75
1488200,Symphony of War: The Nephilim Saga,https://store.steampowered.com/app/1488200,0.0,0.0,0.0,0.0
1934570,South of Midnight,https://store.steampowered.com/app/1934570,0.0,0.0,0.0,0.0
